stop_id,stop_name,stop_desc,Latitude,Longitude
1,Rosa Parks Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,29.64556734,-82.32269681
2,Hampton Inn Hotel,Westbound SE 2nd AVE @ Nearside SE 1st ST,29.65034625,-82.32380428
3,Westbound SW 2nd Avenue @ SW 2nd Street,Westbound SW 2nd AVE @ Nearside SW 2nd ST,29.6503971,-82.32645869
4,The Continuum,Westbound SW 2nd AVE @ Nearside SW 6th ST,29.65032525,-82.32967432
6,Ayers Medical Plaza,Westbound SW 2nd AVE @ Nearside SW 8th ST,29.65033494,-82.33279035
7,Infinity Hall,Westbound SW 2nd AVE @ Nearside SW 10th ST,29.65031427,-82.33460268
8,Courtyard Apartments,Southbound SW 12th ST @ Farside SW 2nd AVE,29.64957427,-82.33717885
9,Campus USA Bank,Southbound SW 12th ST @ Farside SW 4th AVE,29.64803327,-82.33715068
10,Norman Hall,Southbound SW 12th ST @ Farside SW 6th AVE,29.64674428,-82.33717883
11,Norman Parking Garage,Southbound SW 12th ST @ Nearside SW 8th AVE,29.64512003,-82.33711925
12,Norman Field @ SW 8th Avenue,Westbound SW 8th AVE @ Farside SW 12th ST,29.64495627,-82.33809468
13,Beaty Towers,Westbound Museum RD @ Farside SW 13th ST,29.64492248,-82.3401019
14,Frazier Rogers Hall,Westbound Museum RD @ Farside Newell DR,29.64494092,-82.34499721
15,Benton Hall,Southbound Center DR @ Farside Museum RD,29.643904,-82.34701026
16,Shands Hospital @ Basic Science Building,Southbound Center DR @ Nearside Mowry RD,29.64020161,-82.34628818
17,Shands Hospital @ Dental Science Building,Southbound Center DR @ Nearside Archer RD,29.63883961,-82.34626801
18,Shands Hospital @ Davis Cancer Pavilion,Westbound Archer RD @ Nearside Gale Lemerand DR,29.63702289,-82.34988451
20,Mt Vernon Apartments,Westbound Archer RD @ Nearside SW 23rd DR,29.63388266,-82.35863713
22,Country Village Apartments,Westbound Archer RD @ Farside SW 23rd TER,29.63204594,-82.36253384
23,UF Surge Area Drive,Westbound Archer RD @ Nearside Surge Area DR,29.63054044,-82.36576268
24,Gator Carwash,Westbound Archer RD @ Farside Surge Area DR,29.62956244,-82.36781834
25,Westbound Archer Road @ SW 34th Street,Westbound Archer RD @ Nearside SW 34th ST,29.62775815,-82.37153823
